Timestamp,Coder,Video ID,Timecode,Type,Duration,Code,Notes
4/17/2025 10:22:48,Thomas Leonard,_y-59phRHRM,7374,interval,14,sportsculture,
4/17/2025 10:22:30,Lena,_y-59phRHRM,1862,interval,5,familypersonal,
4/17/2025 10:22:28,Lena,_y-59phRHRM,1775,interval,86,familypersonal,
4/17/2025 10:22:22,Malia,hBMoPUAeLnY,3173,interval,137,econtax,
4/17/2025 10:22:20,Thomas Leonard,_y-59phRHRM,7327,interval,3,econtax,
4/17/2025 10:22:08,Thomas Leonard,_y-59phRHRM,7298,interval,7,sportsculture,
4/17/2025 10:21:48,Thomas Leonard,_y-59phRHRM,7266,interval,3,sportsculture,
4/17/2025 10:21:43,Lena,_y-59phRHRM,1640,interval,133,campaign,
4/17/2025 10:21:32,Lena,_y-59phRHRM,1742,interval,8,electionsdemocracy,
4/17/2025 10:21:24,Thomas Leonard,_y-59phRHRM,7167,interval,52,electionsdemocracy,
4/17/2025 10:20:59,Malia,hBMoPUAeLnY,3059,interval,85,econtax,
4/17/2025 10:20:58,Amber,NonvV2Hc7h0,1150,interval,46,immigration,
4/17/2025 10:20:56,Thomas Leonard,_y-59phRHRM,7120,interval,44,campaign,
4/17/2025 10:20:34,Lena,_y-59phRHRM,1398,interval,237,campaign,
4/17/2025 10:20:31,Thomas Leonard,_y-59phRHRM,7062,interval,53,electionsdemocracy,
4/17/2025 10:20:26,Amber,NonvV2Hc7h0,1142,interval,7,econtax,
4/17/2025 10:20:23,rosie,adLMXI7J1wY,4370,interval,83,campaign,
4/17/2025 10:20:16,Lena,_y-59phRHRM,1596,interval,1,familypersonal,
4/17/2025 10:20:15,Amber,NonvV2Hc7h0,1020,interval,-1018,econtax,
4/17/2025 10:20:13,Lena,_y-59phRHRM,1589,interval,3,familypersonal,
4/17/2025 10:20:08,Malia,hBMoPUAeLnY,3030,interval,12,international,
4/17/2025 10:20:05,Michael Citarella,fRyyTAs1XY8,5239,interval,15,econtax,
4/17/2025 10:19:59,Lena,_y-59phRHRM,1551,interval,14,electionsdemocracy,
4/17/2025 10:19:58,Thomas Leonard,_y-59phRHRM,6823,interval,224,electionsdemocracy,
4/17/2025 10:19:55,Malia,hBMoPUAeLnY,2824,interval,193,econtax,
4/17/2025 10:19:53,Michael Citarella,fRyyTAs1XY8,5190,interval,40,religion,
4/17/2025 10:19:49,Thomas Seeger,IJMPV9DlZH4,339,interval,59,ad,
4/17/2025 10:19:37,rosie,adLMXI7J1wY,4300,interval,38,campaign,
4/17/2025 10:19:35,Amber,NonvV2Hc7h0,1022,interval,60,patriotism,
4/17/2025 10:19:33,Michael Citarella,fRyyTAs1XY8,5188,interval,1,religion,
4/17/2025 10:19:23,Lena,_y-59phRHRM,1481,interval,10,electionsdemocracy,
4/17/2025 10:19:16,Thomas Seeger,IJMPV9DlZH4,234,interval,96,lgbtq,
4/17/2025 10:19:11,Lena,_y-59phRHRM,1456,interval,13,familypersonal,
4/17/2025 10:18:55,rosie,adLMXI7J1wY,4242,interval,9,abortion,
4/17/2025 10:18:51,rosie,adLMXI7J1wY,4231,interval,12,campaign,
4/17/2025 10:18:46,Lena,_y-59phRHRM,1376,interval,41,electionsdemocracy,
4/17/2025 10:18:28,Thomas Leonard,_y-59phRHRM,6866,interval,1,international,
4/17/2025 10:18:27,Lena,_y-59phRHRM,1351,interval,28,campaign,
4/17/2025 10:18:21,rosie,adLMXI7J1wY,4177,interval,15,econtax,
4/17/2025 10:18:06,rosie,adLMXI7J1wY,4154,interval,12,campaign,
